14:46:44 topic: pageviews/Partition 0 | message lag: 0.0
14:46:44 topic: inventory/Partition 0 | message lag: 0.0
14:46:44 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:45 topic: pageviews/Partition 0 | message lag: 0.0
14:46:45 topic: inventory/Partition 0 | message lag: 0.0
14:46:45 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:46 topic: pageviews/Partition 0 | message lag: 0.0
14:46:46 topic: inventory/Partition 0 | message lag: 0.0
14:46:46 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:47 topic: pageviews/Partition 0 | message lag: 0.0
14:46:47 topic: inventory/Partition 0 | message lag: 0.0
14:46:47 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:48 topic: pageviews/Partition 0 | message lag: 0.0
14:46:48 topic: inventory/Partition 0 | message lag: 0.0
14:46:48 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:49 topic: pageviews/Partition 0 | message lag: 0.0
14:46:49 topic: inventory/Partition 0 | message lag: 0.0
14:46:49 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:50 topic: pageviews/Partition 0 | message lag: 0.0
14:46:50 topic: inventory/Partition 0 | message lag: 0.0
14:46:50 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:51 topic: pageviews/Partition 0 | message lag: 0.0
14:46:51 topic: inventory/Partition 0 | message lag: 0.0
14:46:51 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:52 topic: pageviews/Partition 0 | message lag: 0.0
14:46:52 topic: inventory/Partition 0 | message lag: 0.0
14:46:52 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:53 topic: pageviews/Partition 0 | message lag: 0.0
14:46:53 topic: inventory/Partition 0 | message lag: 0.0
14:46:53 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:54 topic: pageviews/Partition 0 | message lag: 0.0
14:46:54 topic: inventory/Partition 0 | message lag: 0.0
14:46:54 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:55 topic: pageviews/Partition 0 | message lag: 0.0
14:46:55 topic: inventory/Partition 0 | message lag: 0.0
14:46:55 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:56 topic: pageviews/Partition 0 | message lag: 0.0
14:46:56 topic: inventory/Partition 0 | message lag: 0.0
14:46:56 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:57 topic: pageviews/Partition 0 | message lag: 0.0
14:46:57 topic: inventory/Partition 0 | message lag: 0.0
14:46:57 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
14:46:58 topic: pageviews/Partition 0 | message lag: 0.0
14:46:58 topic: inventory/Partition 0 | message lag: 0.0
14:46:58 topic: _schemas_schemaregistry_dc1/Partition 0 | message lag: 0.0
